---
Linear Components
0	OGS
135	PCSOFF_184903
136	PCSOFF_351400
137	PCSOFF_351205
138	PCSOFF_351203
139	PCSOFF_184116
140	PCSOFF_185703
141	PCSOFF_183303
142	PCSOFF_185110
143	PCSOFF_757102
144	PCSOFF_184115
145	PCSOFF_185512
146	PCSOFF_351207
147	PCSOFF_184703
148	PCSOFF_470494
149	PCSOFF_310491
150	PCSOFF_184107
151	PCSOFF_187313
152	PCSSUB_B
153	PCSSUB_A
154	PCSSUB_W
155	PCSSUB_U
156	PCSSUB_C
157	PCSSUB_F
158	PCSSUB_E
159	PCSSUB_D
160	PCSSUB_G
161	PCSSUB_I
162	PCSSUB_H
163	PCSSUB_J
164	PCSSUB_V
165	PCSSUB_K
166	DISP_2
167	DISP_3
168	DISP_1
169	DISP_4
170	DISP_5
---
Linear Regression...
R2 Score (Val / Test) 
0.035498 0.040220 
MSE (Val / Test)6640.651265 26345.843290 
Coefficients
[  9.59030143e-02   9.32986998e-02   3.17920546e-02   2.37936856e-02
   3.07476637e-02   5.23197351e-02   7.91626312e-03   8.12931368e-02
   3.67178965e-02  -5.22924774e-03   9.73915925e-02   7.85095764e-02
   4.93080401e-02   1.13572338e-01   1.40381082e-01   3.92200134e-03
   2.05828086e-02   4.49276444e-02   8.47669927e-03   1.23455978e-01
   1.84213376e-02  -1.87244349e-02   4.79325371e-02   8.05499377e-02
   5.36062806e-02   1.11616145e-02  -3.55091413e-02   1.32814906e-01
   2.87482010e-01   1.29417235e-01   1.13508361e-01   6.80922639e-02
   5.78569756e-01  -8.48510138e-03   5.06919123e-02   4.52805951e-03
  -7.24238312e-03   1.90117046e-01   1.04048417e-01  -1.44568541e-02
   1.49038181e-02  -1.16962074e-02   2.80607574e-01  -1.11109295e-02
  -1.65722985e-02   2.12494083e-02   1.33038298e-02  -4.00647881e-02
   3.13147131e-01  -9.07763374e-03   4.24244306e-01  -1.17425271e-02
   6.51249118e-03   2.72392378e-02  -4.97548913e-03  -1.46129056e-02
   5.33788141e-02   5.76707393e-03   5.11006616e-02  -6.34833967e-02
  -9.11884455e-03  -4.75281797e-02   7.20552032e-03   1.67712538e-01
  -2.88115696e-02  -2.31575563e-03  -5.60346514e-03   2.99108800e-02
  -5.44265930e-03   9.64708674e-03   2.89358992e-01   5.58048082e-02
   4.64025625e-01   2.06519987e-02  -4.76818212e-02  -3.50496868e-02
   1.23354199e-02   9.89703496e-04   2.02046876e-01   2.21650179e-01
  -5.81017714e-03  -1.19097150e-01  -1.62562205e-02   1.09754656e-01
   1.25459867e-02  -4.75049546e-03   2.75977479e+00   1.60189945e-02
   1.50831956e-02  -1.01510762e-02  -9.54996376e-03  -2.80548197e-03
  -3.03642364e-02  -4.32444140e-02   8.24524312e-02   4.20595580e-02
   1.50039045e-01   2.63515483e-02   1.88598472e-01  -2.43061984e-04
  -1.85086379e-02  -4.11217974e-02  -1.47859790e-02   2.52811291e-03
  -1.50901892e-02  -8.41074031e-03   1.49799585e-01  -2.64432155e-02
  -7.02254483e-02   8.45652351e-03  -3.10259805e-02   2.94523383e-02
  -8.19624473e-03  -3.43754645e-02  -1.19500824e-02  -2.25082797e-02
  -1.93068718e-02  -4.20433416e-03  -3.12651047e-02   2.71227741e-02
  -7.76769706e-03   1.33464437e+00  -2.90477793e-02  -3.40747137e-02
  -3.78365075e-02  -2.59365279e-02   2.49357039e-02  -2.52850385e-02
   1.12392272e+00   9.21632046e-03   2.12287010e-02  -7.39109792e-03
   1.95849341e-02  -3.54875435e-02  -1.30884204e-02  -9.54085741e-03
  -1.73989110e-02  -4.42472080e-02  -4.09590703e-02  -2.06484525e-01
  -5.40891237e-02   3.64060418e-02   7.06599763e-04   7.22605595e-03
   1.09625340e-02   5.86786848e-03  -6.31442316e-02  -4.20064173e-02
   8.39649021e-03   2.95703429e-02  -2.91796348e-02  -4.23585547e-03
   7.85949401e-02   6.39295573e-02   5.64365365e-02   9.88308016e-02
   8.06359176e-02   1.40993952e-02   2.49207478e-01   5.51842845e-02
  -4.62941612e-05   7.73634848e-02   2.10830778e-02   3.14056124e-02
   1.22507075e-01   4.36391667e-02   2.57952884e-02   3.83614216e-02
   2.07897041e-02   5.64123043e-02   7.66534033e-02]
Intercept
10.7882285713
---

Call:
function (formula, data, subset, weights, na.action, method = "qr", 
    model = TRUE, x = FALSE, y = FALSE, qr = TRUE, singular.ok = TRUE, 
    contrasts = NULL, offset, ...) 
{
    ret.x <- x
    ret.y <- y
    cl <- match.call()
    mf <- match.call(expand.dots = FALSE)
    m <- match(c("formula", "data", "subset", "weights", "na.action", 
        "offset"), names(mf), 0L)
    mf <- mf[c(1L, m)]
    mf$drop.unused.levels <- TRUE
    mf[[1L]] <- as.name("model.frame")
    mf <- eval(mf, parent.frame())
    if (method == "model.frame") 
        return(mf)
    else if (method != "qr") 
        warning(gettextf("method = '%s' is not supported. Using 'qr'", 
            method), domain = NA)
    mt <- attr(mf, "terms")
    y <- model.response(mf, "numeric")
    w <- as.vector(model.weights(mf))
    if (!is.null(w) && !is.numeric(w)) 
        stop("'weights' must be a numeric vector")
    offset <- as.vector(model.offset(mf))
    if (!is.null(offset)) {
        if (length(offset) != NROW(y)) 
            stop(gettextf("number of offsets is %d, should equal %d (number of observations)", 
                length(offset), NROW(y)), domain = NA)
    }
    if (is.empty.model(mt)) {
        x <- NULL
        z <- list(coefficients = if (is.matrix(y)) matrix(, 0, 
            3) else numeric(), residuals = y, fitted.values = 0 * 
            y, weights = w, rank = 0L, df.residual = if (!is.null(w)) sum(w != 
            0) else if (is.matrix(y)) nrow(y) else length(y))
        if (!is.null(offset)) {
            z$fitted.values <- offset
            z$residuals <- y - offset
        }
    }
    else {
        x <- model.matrix(mt, mf, contrasts)
        z <- if (is.null(w)) 
            lm.fit(x, y, offset = offset, singular.ok = singular.ok, 
                ...)
        else lm.wfit(x, y, w, offset = offset, singular.ok = singular.ok, 
            ...)
    }
    class(z) <- c(if (is.matrix(y)) "mlm", "lm")
    z$na.action <- attr(mf, "na.action")
    z$offset <- offset
    z$contrasts <- attr(x, "contrasts")
    z$xlevels <- .getXlevels(mt, mf)
    z$call <- cl
    z$terms <- mt
    if (model) 
        z$model <- mf
    if (ret.x) 
        z$x <- x
    if (ret.y) 
        z$y <- y
    if (!qr) 
        z$qr <- NULL
    z
}(formula = "y ~ x0 + x1 + x2 + x3 + x4 + x5 + x6 + x7 + x8 + x9 + x10 + x11 + x12 + x13 + x14 + x15 + x16 + x17 + x18 + x19 + x20 + x21 + x22 + x23 + x24 + x25 + x26 + x27 + x28 + x29 + x30 + x31 + x32 + x33 + x34 + x35 + x36 + x37 + x38 + x39 + x40 + x41 + x42 + x43 + x44 + x45 + x46 + x47 + x48 + x49 + x50 + x51 + x52 + x53 + x54 + x55 + x56 + x57 + x58 + x59 + x60 + x61 + x62 + x63 + x64 + x65 + x66 + x67 + x68 + x69 + x70 + x71 + x72 + x73 + x74 + x75 + x76 + x77 + x78 + x79 + x80 + x81 + x82 + x83 + x84 + x85 + x86 + x87 + x88 + x89 + x90 + x91 + x92 + x93 + x94 + x95 + x96 + x97 + x98 + x99 + x100 + x101 + x102 + x103 + x104 + x105 + x106 + x107 + x108 + x109 + x110 + x111 + x112 + x113 + x114 + x115 + x116 + x117 + x118 + x119 + x120 + x121 + x122 + x123 + x124 + x125 + x126 + x127 + x128 + x129 + x130 + x131 + x132 + x133 + x134 + x135 + x136 + x137 + x138 + x139 + x140 + x141 + x142 + x143 + x144 + x145 + x146 + x147 + x148 + x149 + x150 + x151 + x152 + x153 + x154 + x155 + x156 + x157 + x158 + x159 + x160 + x161 + x162 + x163 + x164 + x165 + x166 + x167 + x168 + x169 + x170")

Residuals:
    Min      1Q  Median      3Q     Max 
-5.5565 -0.1802 -0.0563 -0.0008 11.0651 

Coefficients:
              Estimate Std. Error t value Pr(>|t|)    
(Intercept)  1.079e+01  7.487e+01   0.144  0.88543    
x0           9.590e-02  3.200e-02   2.997  0.00273 ** 
x1           9.330e-02  1.560e-02   5.982 2.24e-09 ***
x2           3.179e-02  8.996e-03   3.534  0.00041 ***
x3           2.379e-02  5.088e-01   0.047  0.96270    
x4           3.075e-02  5.077e-01   0.061  0.95171    
x5           5.232e-02  5.084e-01   0.103  0.91804    
x6           7.916e-03  5.083e-01   0.016  0.98757    
x7           8.129e-02  5.074e-01   0.160  0.87271    
x8           3.672e-02  5.076e-01   0.072  0.94234    
x9          -5.229e-03  5.071e-01  -0.010  0.99177    
x10          9.739e-02  5.085e-01   0.192  0.84812    
x11          7.851e-02  5.074e-01   0.155  0.87704    
x12          4.931e-02  5.081e-01   0.097  0.92269    
x13          1.136e-01  5.073e-01   0.224  0.82285    
x14          1.404e-01  5.080e-01   0.276  0.78228    
x15          3.922e-03  5.099e-01   0.008  0.99386    
x16          2.058e-02  5.077e-01   0.041  0.96766    
x17          4.493e-02  5.076e-01   0.089  0.92947    
x18          8.477e-03  5.145e-01   0.016  0.98685    
x19          1.235e-01  5.080e-01   0.243  0.80799    
x20          1.842e-02  5.075e-01   0.036  0.97104    
x21         -1.872e-02  5.102e-01  -0.037  0.97072    
x22          4.793e-02  5.078e-01   0.094  0.92480    
x23          8.055e-02  5.093e-01   0.158  0.87432    
x24          5.361e-02  5.097e-01   0.105  0.91624    
x25          1.116e-02  5.106e-01   0.022  0.98256    
x26         -3.551e-02  5.556e-01  -0.064  0.94904    
x27          1.328e-01  5.086e-01   0.261  0.79397    
x28          2.875e-01  5.081e-01   0.566  0.57156    
x29          1.294e-01  5.077e-01   0.255  0.79881    
x30          1.135e-01  5.075e-01   0.224  0.82304    
x31          6.809e-02  5.127e-01   0.133  0.89434    
x32          5.786e-01  5.124e-01   1.129  0.25882    
x33         -8.485e-03  5.855e-01  -0.014  0.98844    
x34          5.069e-02  5.074e-01   0.100  0.92042    
x35          4.528e-03  5.251e-01   0.009  0.99312    
x36         -7.242e-03  5.084e-01  -0.014  0.98863    
x37          1.901e-01  5.112e-01   0.372  0.70999    
x38          1.040e-01  7.172e-01   0.145  0.88465    
x39         -1.446e-02  5.101e-01  -0.028  0.97739    
x40          1.490e-02  5.159e-01   0.029  0.97695    
x41         -1.170e-02  5.106e-01  -0.023  0.98172    
x42          2.806e-01  5.090e-01   0.551  0.58140    
x43         -1.111e-02  5.172e-01  -0.021  0.98286    
x44         -1.657e-02  5.163e-01  -0.032  0.97439    
x45          2.125e-02  5.080e-01   0.042  0.96664    
x46          1.330e-02  5.129e-01   0.026  0.97931    
x47         -4.006e-02  5.126e-01  -0.078  0.93771    
x48          3.131e-01  5.099e-01   0.614  0.53916    
x49         -9.078e-03  5.131e-01  -0.018  0.98588    
x50          4.242e-01  5.134e-01   0.826  0.40864    
x51         -1.174e-02  5.192e-01  -0.023  0.98196    
x52          6.512e-03  5.152e-01   0.013  0.98991    
x53          2.724e-02  5.116e-01   0.053  0.95754    
x54         -4.975e-03  5.210e-01  -0.010  0.99238    
x55         -1.461e-02  5.088e-01  -0.029  0.97709    
x56          5.338e-02  5.085e-01   0.105  0.91640    
x57          5.767e-03  5.218e-01   0.011  0.99118    
x58          5.110e-02  5.083e-01   0.101  0.91993    
x59         -6.348e-02  5.478e-01  -0.116  0.90775    
x60         -9.119e-03  5.278e-01  -0.017  0.98622    
x61         -4.753e-02  5.860e-01  -0.081  0.93536    
x62          7.206e-03  5.278e-01   0.014  0.98911    
x63          1.677e-01  5.084e-01   0.330  0.74148    
x64         -2.881e-02  5.555e-01  -0.052  0.95864    
x65         -2.316e-03  5.856e-01  -0.004  0.99684    
x66         -5.603e-03  5.187e-01  -0.011  0.99138    
x67          2.991e-02  5.089e-01   0.059  0.95313    
x68         -5.443e-03  5.279e-01  -0.010  0.99177    
x69          9.647e-03  5.138e-01   0.019  0.98502    
x70          2.894e-01  5.117e-01   0.565  0.57176    
x71          5.580e-02  5.169e-01   0.108  0.91404    
x72          4.640e-01  5.279e-01   0.879  0.37937    
x73          2.065e-02  5.555e-01   0.037  0.97035    
x74         -4.768e-02  5.299e-01  -0.090  0.92830    
x75         -3.505e-02  5.227e-01  -0.067  0.94654    
x76          1.234e-02  5.556e-01   0.022  0.98229    
x77          9.897e-04  5.555e-01   0.002  0.99858    
x78          2.020e-01  5.303e-01   0.381  0.70320    
x79          2.217e-01  5.123e-01   0.433  0.66524    
x80         -5.810e-03  5.555e-01  -0.010  0.99165    
x81         -1.191e-01  6.214e-01  -0.192  0.84800    
x82         -1.626e-02  5.345e-01  -0.030  0.97574    
x83          1.098e-01  5.088e-01   0.216  0.82921    
x84          1.255e-02  5.136e-01   0.024  0.98051    
x85         -4.751e-03  5.379e-01  -0.009  0.99295    
x86          2.760e+00  5.478e-01   5.038 4.73e-07 ***
x87          1.602e-02  5.380e-01   0.030  0.97625    
x88          1.508e-02  5.297e-01   0.028  0.97728    
x89         -1.015e-02  5.555e-01  -0.018  0.98542    
x90         -9.550e-03  6.210e-01  -0.015  0.98773    
x91         -2.805e-03  5.345e-01  -0.005  0.99581    
x92         -3.036e-02  5.856e-01  -0.052  0.95865    
x93         -4.324e-02  5.479e-01  -0.079  0.93709    
x94          8.245e-02  5.430e-01   0.152  0.87930    
x95          4.206e-02  5.212e-01   0.081  0.93568    
x96          1.500e-01  5.157e-01   0.291  0.77108    
x97          2.635e-02  5.321e-01   0.050  0.96050    
x98          1.886e-01  5.239e-01   0.360  0.71885    
x99         -2.431e-04  5.187e-01   0.000  0.99963    
x100        -1.851e-02  5.671e-01  -0.033  0.97396    
x101        -4.112e-02  5.264e-01  -0.078  0.93773    
x102        -1.479e-02  5.421e-01  -0.027  0.97824    
x103         2.528e-03  7.172e-01   0.004  0.99719    
x104        -1.509e-02  5.856e-01  -0.026  0.97944    
x105        -8.411e-03  5.347e-01  -0.016  0.98745    
x106         1.498e-01  5.143e-01   0.291  0.77087    
x107        -2.644e-02  5.671e-01  -0.047  0.96281    
x108        -7.023e-02  7.173e-01  -0.098  0.92201    
x109         8.457e-03  5.346e-01   0.016  0.98738    
x110        -3.103e-02  7.178e-01  -0.043  0.96552    
x111         2.945e-02  7.171e-01   0.041  0.96724    
x112        -8.196e-03  7.172e-01  -0.011  0.99088    
x113        -3.438e-02  5.481e-01  -0.063  0.95000    
x114        -1.195e-02  5.297e-01  -0.023  0.98200    
x115        -2.251e-02  5.670e-01  -0.040  0.96833    
x116        -1.931e-02  5.559e-01  -0.035  0.97229    
x117        -4.204e-03  5.425e-01  -0.008  0.99382    
x118        -3.127e-02  5.673e-01  -0.055  0.95605    
x119         2.712e-02  7.171e-01   0.038  0.96983    
x120        -7.768e-03  6.211e-01  -0.013  0.99002    
x121         1.335e+00  5.670e-01   2.354  0.01859 *  
x122        -2.905e-02  6.212e-01  -0.047  0.96270    
x123        -3.407e-02  5.263e-01  -0.065  0.94838    
x124        -3.784e-02  7.174e-01  -0.053  0.95794    
x125        -2.594e-02  6.211e-01  -0.042  0.96669    
x126         2.494e-02  7.171e-01   0.035  0.97226    
x127        -2.529e-02  5.670e-01  -0.045  0.96443    
x128         1.124e+00  5.555e-01   2.023  0.04306 *  
x129         9.216e-03  7.171e-01   0.013  0.98975    
x130         2.123e-02  7.179e-01   0.030  0.97641    
x131        -7.391e-03  7.171e-01  -0.010  0.99178    
x132         1.958e-02  5.117e-01   0.038  0.96947    
x133        -3.549e-02  5.478e-01  -0.065  0.94834    
x134        -1.309e-02  7.171e-01  -0.018  0.98544    
x135        -9.541e-03  7.171e-01  -0.013  0.98938    
x136        -1.740e-02  6.214e-01  -0.028  0.97766    
x137        -4.425e-02  7.173e-01  -0.062  0.95082    
x138        -4.096e-02  7.175e-01  -0.057  0.95448    
x139        -2.065e-01  7.180e-01  -0.288  0.77368    
x140        -5.409e-02  7.172e-01  -0.075  0.93988    
x141         3.641e-02  7.171e-01   0.051  0.95951    
x142         7.066e-04  7.173e-01   0.001  0.99921    
x143         7.226e-03  7.174e-01   0.010  0.99196    
x144         1.096e-02  7.171e-01   0.015  0.98780    
x145         5.868e-03  7.171e-01   0.008  0.99347    
x146        -6.314e-02  7.172e-01  -0.088  0.92984    
x147        -4.201e-02  7.173e-01  -0.059  0.95330    
x148         8.396e-03  7.172e-01   0.012  0.99066    
x149         2.957e-02  7.174e-01   0.041  0.96712    
x150        -2.918e-02  7.172e-01  -0.041  0.96755    
x151        -4.236e-03  5.860e-01  -0.007  0.99423    
x152         7.859e-02  5.109e-01   0.154  0.87774    
x153         6.393e-02  5.109e-01   0.125  0.90042    
x154         5.644e-02  5.139e-01   0.110  0.91255    
x155         9.883e-02  5.112e-01   0.193  0.84670    
x156         8.064e-02  5.109e-01   0.158  0.87460    
x157         1.410e-02  5.112e-01   0.028  0.97800    
x158         2.492e-01  5.114e-01   0.487  0.62607    
x159         5.518e-02  5.108e-01   0.108  0.91397    
x160        -4.629e-05  5.118e-01   0.000  0.99993    
x161         7.736e-02  5.122e-01   0.151  0.87995    
x162         2.108e-02  5.142e-01   0.041  0.96730    
x163         3.141e-02  5.194e-01   0.060  0.95178    
x164         1.225e-01  5.152e-01   0.238  0.81205    
x165         4.364e-02  7.175e-01   0.061  0.95150    
x166         2.580e-02  3.320e-02   0.777  0.43722    
x167         3.836e-02  4.526e-02   0.848  0.39672    
x168         2.079e-02  3.277e-02   0.634  0.52583    
x169         5.641e-02  3.618e-02   1.559  0.11891    
x170         7.665e-02  3.704e-02   2.070  0.03850 *  
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 

Residual standard error: 1.014 on 25619 degrees of freedom
Multiple R-squared: 0.04022,	Adjusted R-squared: 0.03381 
F-statistic: 6.278 on 171 and 25619 DF,  p-value: < 2.2e-16 


[1] 74086.65

Test: 0.0402195006762
Val: 0.0354984739777
